periodo	product_id	tn
201701	20001	934.77222
201701	20002	550.15707
201701	20003	1063.45835
201701	20004	555.9161399999999
201701	20005	494.27011
201701	20006	528.40996
201701	20007	464.67137
201701	20008	523.04609
201701	20009	378.08172
201701	20010	441.25546
201701	20011	489.25422000000003
201701	20012	476.39728
201701	20013	433.34928
201701	20014	248.65917
201701	20015	304.24755
201701	20016	293.66064
201701	20017	327.60433
201701	20018	343.26727999999997
201701	20019	409.5724
201701	20020	293.38983
201701	20021	331.17312
201701	20022	316.55771
201701	20023	207.13875
201701	20024	313.33302
201701	20025	166.81392
201701	20026	184.40019999999998
201701	20027	223.33358
201701	20028	280.32732
201701	20029	236.03158000000002
201701	20030	354.354
201701	20031	138.09868
201701	20033	196.83573
201701	20035	196.32423
201701	20037	107.01826
201701	20038	230.12367
201701	20039	232.57636
201701	20041	191.12626
201701	20042	158.67551
201701	20043	178.5289
201701	20044	194.83483
201701	20045	114.16856
201701	20046	258.48154999999997
201701	20047	180.06395
201701	20050	155.55315
201701	20051	124.07345000000001
201701	20052	150.34129000000001
201701	20053	170.59296
201701	20054	157.74961
201701	20055	158.28111
201701	20056	75.05934
201701	20057	125.86815
201701	20058	159.93297
201701	20059	142.46939
201701	20061	151.69193
201701	20062	157.42856
201701	20063	113.57203
201701	20065	145.15956
201701	20066	146.8347
201701	20067	178.56384
201701	20068	141.59337
201701	20069	133.63467
201701	20070	115.12294
201701	20071	103.05864
201701	20072	117.23166
201701	20073	95.83056
201701	20074	96.22687
201701	20075	136.63868
201701	20076	89.02047
201701	20077	101.87181
201701	20079	78.86154
201701	20080	118.20488
201701	20081	72.78453
201701	20082	98.92867
201701	20084	1.37455
201701	20086	73.56162
201701	20087	102.92085
201701	20090	59.54684
201701	20091	105.8979
201701	20092	138.07521
201701	20093	98.02611
201701	20094	112.35975
201701	20095	51.856410000000004
201701	20096	73.73045
201701	20097	175.96584000000001
201701	20099	85.26119
201701	20100	77.91646
201701	20101	88.67313
201701	20102	116.86614
201701	20103	86.76077
201701	20106	68.50116
201701	20107	95.94079
201701	20108	143.8538
201701	20109	110.66526
201701	20111	68.00977
201701	20114	73.74276
201701	20116	63.35257
201701	20117	90.44291
201701	20118	109.60467999999999
201701	20119	56.51433
201701	20120	114.64145
201701	20121	60.452729999999995
201701	20122	65.58111
201701	20123	63.83286
201701	20124	77.06339
201701	20125	42.9156
201701	20129	89.35406
201701	20132	67.9475
201701	20133	35.6265
201701	20134	71.35947
201701	20137	60.76891
201701	20138	100.32231
201701	20139	39.85254
201701	20140	20.27025
201701	20142	35.61193
201701	20144	57.25477
201701	20145	61.7512
201701	20146	79.76514
201701	20148	45.36038
201701	20151	81.90072
201701	20152	35.57875
201701	20153	50.18154
201701	20155	52.42685
201701	20157	47.86701
201701	20158	37.69038
201701	20160	67.16352
201701	20161	48.25463
201701	20162	19.34944
201701	20166	42.66181
201701	20167	47.57818
201701	20168	55.35815
201701	20175	52.8154
201701	20176	39.65784
201701	20177	59.61846
201701	20179	38.79694
201701	20180	32.26771
201701	20181	54.66552
201701	20182	46.50109
201701	20183	71.79628
201701	20184	37.78966
201701	20187	53.90377
201701	20188	54.51789
201701	20189	37.00757
201701	20192	45.222409999999996
201701	20193	37.876509999999996
201701	20196	36.70758
201701	20197	39.01841
201701	20198	56.07955
201701	20200	55.06156
201701	20201	36.24702
201701	20205	38.05494
201701	20206	30.12828
201701	20207	67.8115
201701	20208	51.83931
201701	20209	31.18762
201701	20211	47.33172
201701	20212	37.3922
201701	20215	52.38636
201701	20216	7.24003
201701	20219	43.10808
201701	20220	32.07409
201701	20222	32.6154
201701	20224	31.66254
201701	20225	13.32617
201701	20226	26.28727
201701	20227	16.41197
201701	20228	23.68553
201701	20230	14.14961
201701	20231	38.85342
201701	20232	9.69969
201701	20233	16.99413
201701	20234	12.30532
201701	20235	13.11154
201701	20238	30.28317
201701	20239	32.88182
201701	20240	18.86412
201701	20241	41.74986
201701	20242	33.0483
201701	20244	32.35873
201701	20246	25.89262
201701	20249	19.47837
201701	20251	27.482699999999998
201701	20252	42.61191
201701	20253	26.79747
201701	20254	14.108139999999999
201701	20255	18.38627
201701	20256	33.57073
201701	20259	19.60279
201701	20263	29.06544
201701	20264	55.30515
201701	20265	6.59738
201701	20267	21.57314
201701	20268	27.36741
201701	20269	31.760479999999998
201701	20270	10.75994
201701	20271	16.98027
201701	20272	28.879630000000002
201701	20273	28.37931
201701	20275	24.82609
201701	20276	20.33609
201701	20277	26.76126
201701	20278	22.366459999999996
201701	20280	26.01653
201701	20281	24.4942
201701	20282	25.61647
201701	20283	29.92033
201701	20284	28.94539
201701	20285	16.01754
201701	20288	34.21022
201701	20289	24.45625
201701	20290	16.59223
201701	20291	13.96261
201701	20292	24.95044
201701	20295	14.82788
201701	20296	21.46343
201701	20299	13.00026
201701	20300	21.67279
201701	20301	14.90865
201701	20302	7.60693
201701	20303	20.53542
201701	20304	20.3116
201701	20305	7.46518
201701	20307	22.70368
201701	20309	23.6267
201701	20310	22.894090000000002
201701	20311	19.27562
201701	20313	15.446340000000001
201701	20314	19.31398
201701	20315	20.59076
201701	20316	21.76432
201701	20317	25.76646
201701	20320	20.24657
201701	20321	16.78129
201701	20322	56.1257
201701	20324	15.334200000000001
201701	20325	11.81983
201701	20326	20.71942
201701	20327	14.62185
201701	20328	11.17389
201701	20329	21.53194
201701	20330	21.61073
201701	20332	18.94275
201701	20335	25.41893
201701	20336	19.50061
201701	20338	23.11217
201701	20341	17.37731
201701	20342	23.18008
201701	20346	19.24733
201701	20349	13.95801
201701	20350	7.04462
201701	20352	13.68897
201701	20353	30.101960000000002
201701	20354	20.24505
201701	20356	12.83659
201701	20357	21.67236
201701	20358	17.572
201701	20359	18.51821
201701	20361	8.708400000000001
201701	20362	11.76351
201701	20365	19.38207
201701	20366	12.6164
201701	20367	14.91849
201701	20372	14.87128
201701	20375	19.84392
201701	20379	23.52199
201701	20380	15.77383
201701	20381	13.46058
201701	20382	19.451
201701	20383	17.77704
201701	20384	16.78141
201701	20385	19.50801
201701	20386	14.4519
201701	20388	20.75892
201701	20396	13.3353
201701	20398	6.91224
201701	20400	18.52642
201701	20401	17.30374
201701	20404	15.45998
201701	20406	16.29007
201701	20407	12.4924
201701	20409	10.86685
201701	20410	16.03056
201701	20411	17.568270000000002
201701	20416	3.98626
201701	20418	3.49372
201701	20419	11.48922
201701	20421	17.2974
201701	20422	2.81569
201701	20424	20.01162
201701	20426	9.33078
201701	20428	2.7908
201701	20429	3.10702
201701	20432	11.89137
201701	20433	10.27725
201701	20434	15.88754
201701	20438	14.09287
201701	20443	12.088519999999999
201701	20449	3.37108
201701	20450	11.20655
201701	20456	13.12554
201701	20463	1.6731
201701	20464	10.29763
201701	20465	15.67356
201701	20466	7.8935
201701	20469	15.83519
201701	20470	8.31922
201701	20473	5.37581
201701	20474	10.25536
201701	20480	11.88667
201701	20482	7.54695
201701	20483	11.6707
201701	20484	18.77665
201701	20490	2.61275
201701	20497	7.16061
201701	20500	9.95895
201701	20502	9.36293
201701	20505	13.42554
201701	20509	2.50725
201701	20517	7.15806
201701	20520	6.4209000000000005
201701	20524	6.48085
201701	20530	6.18264
201701	20532	8.366859999999999
201701	20536	11.67965
201701	20538	5.02592
201701	20539	10.28009
201701	20549	5.3475399999999995
201701	20551	10.55641
201701	20555	5.3116
201701	20560	7.05911
201701	20561	1.92326
201701	20563	0.20787
201701	20565	3.48569
201701	20568	6.87141
201701	20570	2.43042
201701	20572	6.7138
201701	20579	7.13491
201701	20583	9.84269
201701	20585	0.16363999999999998
201701	20586	1.83923
201701	20596	4.539
201701	20597	2.36424
201701	20599	8.17792
201701	20600	6.40621
201701	20601	1.79215
201701	20602	1.63752
201701	20605	7.83543
201701	20606	5.91078
201701	20609	6.32131
201701	20612	0.21229
201701	20614	5.85217
201701	20617	5.12128
201701	20622	0.81603
201701	20628	2.6935700000000002
201701	20629	7.00377
201701	20632	9.37065
201701	20636	1.8559999999999999
201701	20637	6.77425
201701	20639	5.40671
201701	20640	6.42244
201701	20641	6.06265
201701	20642	3.75511
201701	20644	7.44471
201701	20647	5.45261
201701	20651	5.10238
201701	20652	3.39704
201701	20653	4.79922
201701	20654	7.35642
201701	20655	7.60689
201701	20658	2.02446
201701	20660	5.11237
201701	20661	4.77966
201701	20663	1.26977
201701	20664	2.11941
201701	20666	2.36506
201701	20670	0.98171
201701	20672	4.85488
201701	20676	4.38165
201701	20677	6.00717
201701	20678	2.01319
201701	20680	6.8901200000000005
201701	20684	5.0450099999999996
201701	20685	0.99449
201701	20693	4.7526
201701	20696	9.74942
201701	20697	5.77956
201701	20699	0.20787
